epoch,train_loss,train_acc,val_loss,val_acc
0,0.7590614190774853,0.7433,1.1787045907257194,0.4380
1,0.7043325479765584,0.8129,0.8240959397832254,0.6711
2,0.6940916060106697,0.8200,0.7154816989611862,0.7989
3,0.6795659344596672,0.8388,0.7564524497304644,0.7538
4,0.6731319065978354,0.8469,0.7213663257154307,0.7932
5,0.6623856448191051,0.8615,0.7737843820026943,0.7350
6,0.6520322219670167,0.8730,0.6468825667424309,0.8835
7,0.6262581496310413,0.9085,0.6250924745896705,0.9211
8,0.618883931148819,0.9162,0.651685507225811,0.8816
9,0.6161316567495054,0.9206,0.6291233646242242,0.9079
10,0.613437687394613,0.9254,0.629314562880007,0.9079
11,0.6095275987459404,0.9279,0.6276940250755253,0.9098
12,0.6071255554133091,0.9317,0.6312574529110041,0.9041
13,0.6068048443810184,0.9327,0.6201676296112233,0.9211
14,0.6019198467259419,0.9380,0.6187558599880764,0.9267
15,0.6024175368952771,0.9386,0.6188439655124693,0.9267
16,0.6007326916046908,0.9398,0.6211616961579574,0.9173
17,0.6020150937532124,0.9382,0.6172083298066505,0.9229
18,0.601472142396017,0.9409,0.6175415847534523,0.9286
19,0.6021862364651864,0.9384,0.6181366049257436,0.9267
20,0.600237384525656,0.9428,0.6174556196184087,0.9248
21,0.6004154181221474,0.9419,0.6175279908610466,0.9229
22,0.5981006983826334,0.9442,0.6183607797873648,0.9267
23,0.5988440199902183,0.9440,0.6179287406734955,0.9211
24,0.6000168756733563,0.9411,0.6188379848810067,0.9248
25,0.5983309313567758,0.9455,0.6169620380365759,0.9267
26,0.5993883302536425,0.9440,0.6169294858337345,0.9248
27,0.5996744171121067,0.9424,0.617707427731134,0.9229
28,0.599711793506753,0.9415,0.617745496276626,0.9248
29,0.5985574675482715,0.9428,0.6179184720928508,0.9248
30,0.5996877553070598,0.9417,0.6168751138493531,0.9248
31,0.5989168622937916,0.9436,0.6200102410818401,0.9211
32,0.598907777091913,0.9430,0.6167809815335095,0.9248
33,0.600043509388926,0.9432,0.6173934497331318,0.9248
34,0.5997463343237078,0.9424,0.6185460749425387,0.9267
35,0.598988309888513,0.9430,0.6187874396940819,0.9229
36,0.6001001722930169,0.9417,0.6178501638254725,0.9248
37,0.5985596811861024,0.9428,0.6176144476223709,0.9248
38,0.5974491546825259,0.9463,0.6183202562475563,0.9229
39,0.6004595021058244,0.9405,0.6170483052282405,0.9248
40,0.6002767836938028,0.9409,0.617369148067962,0.9267
41,0.5998409305797981,0.9411,0.6178074815219506,0.9229
42,0.6021097912923834,0.9376,0.6178421010648397,0.9229
43,0.6003249717336351,0.9434,0.618048013601088,0.9229
44,0.5981884090822741,0.9447,0.6183559603260872,0.9229
45,0.6005202443677381,0.9392,0.6191816562996771,0.9229
46,0.6005649037329276,0.9392,0.6167805033518856,0.9229
47,0.598222055381402,0.9436,0.6173456154371563,0.9248
48,0.6007821984657568,0.9419,0.617749171597617,0.9248
49,0.600661487756616,0.9413,0.619523066775243,0.9248
Training complete in 3m 50s
